Unnamed:0,sentence,ent_nut,ent_pos,ent_neg,sta_nut,sta_sup,sta_opp,senti,med_aff,med_treat,label
0,"the animal model , which examines for the first time , behavioral , functional and neuro morph o metric consequences of the childhood vaccine regimen , mimics certain neurological abnormalities of autism",-0.33074296,-0.29557616,-0.33074296,3.024678503,3.623520692,2.927390548,Negative,0,0,support
1,"a study published in the journal of toxicology and environmental health determined that mercury exposure can induce immune , sensory , neurological , motor and behavioral dysfunctions similar to traits defining or associated with asds",-0.33185634,-0.29708475,-0.33185634,2.929257321,3.3554445,2.356416729,Negative,0,0,support
2,the side effects commonly retracted from this vaccination are a mild form of each disease,-0.324969,-0.288091,-0.324969,3.210062154,3.181461545,2.865414703,Negative,0,0,neutral
3,"more recently , some parents have been concerned that too many vaccines given too soon might cause autism",-0.32908285,-0.29336447,-0.32908285,2.750729119,2.993419227,2.738968096,Negative,0,0,support
4,"the study compared relative risk of autism spectrum disorder ( asd ) in children vaccinated with measles , mumps and rubella ( mmr ) vaccine and unvaccinated children born in denmark between 1991 and 1998",-0.33301684,-0.29877418,-0.33301684,3.630851967,3.587400651,3.54129456,Negative,0,0,neutral
5,the debate whether the mmr vaccine is safe has been going on for years,-0.32652497,-0.29005384,-0.32652497,3.671025419,3.397326453,3.382480084,Negative,0,0,neutral
6,the blood mercury half life was calculated to be 3 7 days and returned to pre vaccination levels by day 30,-0.3318298,-0.29704496,-0.3318298,2.807767759,2.421361404,2.314712756,Negative,0,0,neutral
7,the controversies surrounding the mmr vaccines have long preceded the autism saga with many people being wary of the vaccine due to the side effects that are related to it,-0.33244607,-0.29789746,-0.33244607,3.128248212,3.510253718,3.141123144,Negative,0,0,support
8,"mmr vaccination is not likely to be a main cause of autism , and cannot explain the rise over time in the incidence of autism",-0.32945544,-0.29385686,-0.32945544,2.394949115,2.449295114,2.82288252,Negative,0,0,oppose
9,"results showed that more fevers and seizures did occur in children who had received the mmr vaccine , compared with children who had not received mmr vaccine",-0.33065245,-0.29545012,-0.33065245,2.865809227,2.809452243,2.833492868,Negative,0,0,neutral
10,we also found no evidence that receipt of either one or two doses of mmr vaccination was associated with an increased risk of autism among children who had older siblings with autism,-0.33294243,-0.29860914,-0.33294243,3.327245227,3.333281441,3.421842586,Negative,0,0,oppose
11,"no convincing evidence was found to support an association between the vaccine preservative thimerosal and autism , nor for the use of chelation therapy in autism",-0.32677495,-0.2903741,-0.32677495,3.879045379,3.965059843,4.011468353,Negative,0,0,oppose
12,"the research team , led by anjali jain of the lewin group , falls church , virginia , say that those families with a child already affected by autism may be less likely to have younger children vaccinated",-0.33257592,-0.29829305,-0.33257592,2.96924229,2.643446554,2.487118945,Negative,1,0,neutral
13,the study concludes that the autistic children had an inappropriate or abnormal antibody response to mmr,-0.32348078,-0.2862575,-0.32348078,3.283114614,3.588343367,3.43134845,Negative,0,0,support
14,"we know that oxidative stress is triggered by heavy metals , like the ones contained in multiple vaccines",-0.32820967,-0.29222265,-0.32820967,4.415201141,4.715292692,4.254387111,Negative,0,0,support
15,the results suggest that vaccines may be linked to autism and encourages more in depth study before continually administering these vaccines,-0.32833833,-0.29239008,-0.32833833,2.759184914,3.051889965,2.829916056,Negative,0,0,support
16,"even so , short of arguing that mmr actually reduces the risk of asd in those who were immunised by age two years , the only conclusion that can be drawn from the study is that there is no signal to suggest a relationship between mmr and the development of autism in children with or without a sibling who has autism , he writes",-0.33077016,-0.29608423,-0.33077016,2.763103972,2.781665456,3.097780641,Negative,0,0,oppose
17,it is well known that viral infections cause increased oxidative stress,-0.3245479,-0.28756785,-0.3245479,4.016736177,4.138474478,3.603416359,Negative,0,0,neutral
18,the researchers were investigating the theory that intestinal problems like crohn 's disease can result from viral infection and contribute to the development of autism who were vaccinated with mmr vaccine,-0.3312066,-0.2962007,-0.3312066,2.956465272,3.283671126,2.847443842,Negative,0,0,support
19,"the study of data on more than 1 , 000 children born between 1993 and 1997 looked at their vaccination schedules up to 1 year of age , and studied their performance 7 to 10 years later on 42 different neuropsychological outcomes",-0.331678,-0.29719967,-0.331678,3.646871503,3.454761288,3.354070631,Negative,0,0,neutral
20,depletion of gsh which can be caused by thimerosal is commonly associated with autism,-0.32044023,-0.28265125,-0.32044023,2.898205679,2.99117416,2.609354487,Negative,0,0,support
21,"increased mercury levels were detected in stools after vaccination , suggesting that the gastrointestinal tract is involved in ethyl mercury elimination",-0.32493252,-0.2880468,-0.32493252,3.268139219,3.008646757,3.043991513,Negative,0,0,neutral
22,"for children diagnosed before a diagnosis of autism , the autism risk was lower in children who received mmr vaccine than in non vaccinated children in a study conducted in poland",-0.3324328,-0.2978815,-0.3324328,3.18891071,3.183422893,3.219184643,Negative,0,0,oppose
23,the california dds data do not show any recent decrease in autism in california despite the exclusion of more than trace levels of thimerosal from nearly all childhood vaccines,-0.33145535,-0.29653406,-0.33145535,2.040023192,2.157618973,2.483221511,Negative,0,0,oppose
24,"study assessed blood mercury levels of 216 healthy children prior to immunization with thimerosal containing vaccines , and 12 hours to 30 days after",-0.33230487,-0.2977003,-0.33230487,4.061328797,3.931535937,3.728920387,Negative,0,0,neutral
25,"the mmr vaccine was first alleged to be a cause of autism in 1998 , when dr andrew wakefield , a british researcher , published a study in the lancet claiming that the 12 children with neurodevelopmental delays ( eight of whom had autism ) he examined had the measles virus in their guts",-0.33239028,-0.2980635,-0.33239028,3.100082704,3.541197716,3.086884897,Negative,0,0,support
26,"given that the scientific evidence appears to indicate that vaccine safety is not as firmly established as often believed , it would seem ill advised to exclude pediatric vaccinations as a possible cause of adverse long term neurodevelopment outcomes , including those associated with autism",-0.329827,-0.29493883,-0.329827,2.093461607,2.851961365,2.199786536,Negative,0,0,support
27,the studies also show that children from countries with the highest asd appear to have a much higher exposure to aluminum from vaccines,-0.32990718,-0.29445353,-0.32990718,3.436137728,3.682472774,3.359827055,Neutral,0,0,support
28,the data is not consistent with the hypothesis that increased exposure to thimerosal containing vaccines is responsible for the apparent increase in the rates of autism in young children being observed worldwide,-0.33237055,-0.29779255,-0.33237055,3.866203882,4.037585602,3.859871585,Negative,0,0,support
29,"in a recently published ruling , part of which was censored from public view , a young boy was awarded hundreds of thousands of dollars after it was determined that the mmr vaccine led to a confirmed diagnosis of autism spectrum disorder ( asd )",-0.3330103,-0.29873198,-0.3330103,1.930036127,2.757642958,1.885277947,Negative,0,0,support
30,this concern has also been allayed by studies showing that children who received vaccines containing thimerosal were not at greater risk of autism than those who received the same vaccines without thimerosal,-0.3317349,-0.29691517,-0.3317349,3.126085228,3.231822112,3.260083905,Negative,0,0,oppose
31,"after a comprehensive review , the lancet retracted the article which claimed to have a found a link between mmr vaccine and autism , and concluded it was an elaborate fraud , involving falsified data",-0.33163384,-0.29677793,-0.33163384,3.313957938,3.408847862,3.586515848,Negative,0,0,oppose
32,the study points out that several prominent milestones of brain development coincide with major vaccination periods for infants,-0.32911164,-0.29340294,-0.32911164,3.685428044,4.118462571,3.677993272,Negative,0,0,support
33,"the repercussions continue , as us doctors attempt to bring in legislation to prevent parents opting out of vaccination for their children on the grounds of personal belief , while activists accuse scientists of being in the pockets of drug companies",-0.33315572,-0.2989819,-0.33315572,3.368210184,3.115173858,2.864632084,Negative,0,1,neutral
34,they showed that the correlation between asd prevalence and the aluminum adjuvant exposure appears to be the highest at 3 for months of age,-0.32926622,-0.29360774,-0.32926622,3.423063199,3.736798372,3.402338232,Neutral,0,0,support
35,"they determined that the higher the proportion of children receiving recommended vaccinations , the higher the prevalence of autism",-0.32647774,-0.28999493,-0.32647774,3.376491758,3.582811088,3.120542073,Neutral,0,0,support
36,"in any case , thimerosal has been removed from all childhood vaccines except for some multi dose preparations of the flu vaccine , so it 's no longer a concern",-0.3303643,-0.29506293,-0.3303643,2.735445782,2.563478003,2.385193927,Negative,0,0,neutral
37,a study conducted by massachusetts general hospital at the center for morphometric analysis by the department of pediatric neurology illustrates how autistic brains have a growth spurt shortly after birth and then slow in growth a few short years later,-0.33165553,-0.29716867,-0.33165553,4.101163252,3.797123259,3.443199714,Negative,0,0,neutral
38,"some 15 year ago , a small , now discredited study sparked concerns about a link between the mmr vaccine and autism",-0.32894295,-0.2931819,-0.32894295,1.969203094,2.243836308,2.578324148,Negative,0,0,oppose
39,"opponents claim that some of these studies might have flaws , but there are over a dozen epidemiological studies in different countries that use different techniques that have reached the same conclusion that mmr vaccine does not cause autism",-0.33283418,-0.29845318,-0.33283418,3.158892832,3.357246057,3.454612917,Negative,0,0,oppose
40,these results add to the evidence that thimerosal containing vaccines do not increase the risk of autism,-0.3254963,-0.28875214,-0.3254963,2.993684849,3.073804248,3.232669093,Negative,0,0,oppose
41,the methodist neurological institute in houston has shown that asd is a disorder caused by a problem in brain development,-0.3286911,-0.29285222,-0.3286911,3.324221551,3.181097556,2.91285779,Negative,0,0,neutral
42,"a study conducted by the university of texas health science center by the department of family and community medicine determined that for each 1 , 000 I'm back of environmentally released mercury , there was a 43 increase in the rate of special education services and a 61 increase in the rate of autism",-0.3248102,-0.28905225,-0.3248102,2.835686191,2.386323727,1.955205573,Negative,0,0,neutral
43,"however , the opponents of the vaccine point out that epidemiology ca n't rule out an increased risk to a small number of children a vulnerable subset",-0.33115184,-0.29612166,-0.33115184,2.119285046,2.726285837,2.38433521,Neutral,0,0,support
44,"the study outlines how many vaccines have been neurotoxic , especially to the developing brain",-0.32517737,-0.28835082,-0.32517737,2.443425226,3.02361729,2.467632814,Negative,0,0,support
45,"study compared early exposure to thimerosal containing vaccines to 42 neuropsychological outcomes in 1 , 047 children between the ages of 7 and 10 years",-0.33230132,-0.2976966,-0.33230132,3.692292411,3.690027983,3.619336026,Negative,0,1,neutral
46,data suggest that mmr vaccination is not associated with an increased risk of pervasive developmental disorders,-0.32579464,-0.28912935,-0.32579464,3.48998248,3.466422435,3.413092503,Negative,0,0,oppose
47,"a study published in the journal neurochemical research determined that since excessive accumulation of extracellular glutamate is linked with excitotoxicity , data implies that neonatal exposure to thimerosal containing vaccines might induce ex ci to toxic brain injuries , leading to neurodevelopmental disorders",-0.3320833,-0.2976898,-0.3320833,3.000377864,3.553791278,2.744186107,Negative,0,0,support
48,"according to the fda , vaccines represent a special category of drugs as they are generally given to healthy individuals",-0.3293944,-0.2937743,-0.3293944,5.386154926,5.311290143,5.030931742,Negative,0,0,neutral
49,more rare side effects usually are associated with certain allergies and these side effects are the ones that are really harmful to the body,-0.33080557,-0.2956538,-0.33080557,4.764382798,4.609177664,4.324197703,Positive,0,0,neutral
50,"a study published by the department of pharmaceutical sciences at northeastern university , boston determined that a novel growth factor signalling pathway that regulates methionine synthase ( ms ) activity and thereby modulates methylation reactions",-0.33201864,-0.2973211,-0.33201864,3.264325724,3.05799599,2.457403263,Negative,0,1,neutral
51,"based upon the current literature , it appears that there is no relationship between mmr vaccination and the development of autism",-0.32792437,-0.29185325,-0.32792437,1.676454677,1.938702759,2.361234486,Negative,0,0,oppose
52,"since then , a large and growing body of research has continued to find no association between mmr vaccine and autism",-0.32882816,-0.29303074,-0.32882816,2.661457763,2.692610584,2.906371032,Negative,0,0,oppose
53,"on february 1998 , andrew wakefield , a british gastroenterologist and his colleagues published a paper that supposedly linked autism to vaccines",-0.32935926,-0.29372868,-0.32935926,1.528173893,2.474581526,1.710117193,Negative,0,0,support
54,"researchers looked for a change in trend in autism incidence or age at diagnosis associated with the introduction of measles , mumps and rubella ( mmr ) vaccination to the united kingdom in 1988",-0.33264846,-0.29818952,-0.33264846,3.509528132,3.388224456,3.3310622,Negative,0,0,neutral
55,"while the court and the government at large openly admitted that the mmr vaccine caused ryan is encephalitis , it did not make public its opinion on whether or not that encephalitis led to ryan is other injuries , including those that fall into the category of autism spectrum disorder ( asd )",-0.33250263,-0.29819906,-0.33250263,2.780620589,3.364971431,2.673291413,Negative,0,0,support
56,the vaccine autism debate has been going on for years,-0.3244164,-0.2874025,-0.3244164,3.14217486,2.8609428,2.899920955,Positive,0,0,neutral
57,the data do not support the hypothesis that exposure to thimerosal during childhood is a primary cause of autism,-0.32570654,-0.2890175,-0.32570654,3.666124451,3.898311568,3.829163737,Negative,0,0,oppose
58,"controversy seems to follow autism like the tail on a kite , says an editorial in the journal by bryan h king of the university of washington and seattle children is hospital",-0.33303276,-0.2987447,-0.33303276,2.956880494,2.754768212,2.405413369,Negative,0,0,neutral
59,a study published by the university determined that vaccinations may be one of the triggers for autism,-0.32707512,-0.29075778,-0.32707512,3.070902287,3.478101264,2.593054596,Neutral,0,0,support
60,"the study expressed that if there is any link between autism and mercury , it is crucial that the first reports of the question are not falsely stating that no link occurs",-0.33036566,-0.29506505,-0.33036566,3.941060877,3.81306634,3.727784223,Negative,0,0,neutral
61,"this study provides strong evidence against association of autism with persistent measles virus rna in the gastrointestinal tract or with measles , mumps and rubella ( mmr ) vaccine exposure",-0.33034262,-0.2950433,-0.33034262,2.464504853,2.405170456,2.719404609,Negative,0,0,oppose
62,withdrawal of mmr in countries where it is still being used cannot be expected to lead to a reduction in the incidence of autism,-0.3290519,-0.29332477,-0.3290519,3.160430065,3.165940009,3.485893821,Negative,0,0,oppose
63,"research has been conducted on all of these topics , and the studies continue to find mmr vaccines to be a safe and effective way to prevent serious disease",-0.33151796,-0.29661894,-0.33151796,3.688227711,3.682227337,3.706280656,Negative,0,0,oppose
64,the study does not support a causal association between early exposure to mercury from thimerosal containing vaccines and deficits in neuropsychological functioning at the age of 7 to 10 years,-0.33228475,-0.2976725,-0.33228475,3.637937795,3.6761541,3.64173764,Negative,0,0,oppose
65,the mmr vaccine does not cause autism,-0.3212935,-0.28363892,-0.3212935,2.344841359,2.48547439,2.71679992,Negative,0,0,oppose
66,the vaccine preservative thimerosal has alternatively been hypothesized to have a possible causal role in autism,-0.32456917,-0.28759825,-0.32456917,2.687404928,3.369417216,2.803926877,Negative,1,0,support
67,they determined that one of those triggers for autism might be the battery of vaccinations that young children receive,-0.32863113,-0.29277217,-0.32863113,3.381943063,3.715448305,3.138548283,Neutral,0,0,support
68,"because of the differing pharmacokinetics of ethyl and methyl mercury , exposure guidelines based on oral methyl mercury in adults may not be accurate for risk assessments in children who receive thimerosal containing vaccines",-0.33266643,-0.29821065,-0.33266643,3.805507754,3.636484488,3.43928634,Negative,0,0,neutral
69,no evidence was found to support a distinct syndrome of mmr induced autism or of autistic enterocolitis,-0.32105967,-0.2833518,-0.32105967,2.883425451,3.085574904,3.176872265,Negative,0,0,oppose
70,the government conceded that mmr vaccines led to emily is autism and other developmental problems,-0.3267537,-0.2903468,-0.3267537,1.982288513,2.529573934,1.895818282,Negative,0,0,support
71,"the source of this virus could be a variant of mv , or it could be the mmr vaccine",-0.32533482,-0.28854993,-0.32533482,2.492707406,3.074426886,2.705880038,Negative,0,0,support
72,"since the 1950s , there have been disputes over what autism actually is and more recently there is the controversy over the rise in the number of children diagnosed with what is now classified as a spectrum disorder , he writes",-0.33120352,-0.29619253,-0.33120352,2.820115101,2.666747809,2.561670096,Negative,0,0,neutral
73,their analysis showed a significant increase in the level of mmr antibodies in autistic children,-0.32549965,-0.2887563,-0.32549965,2.609185839,2.951560534,2.688855364,Negative,0,0,support
74,"they looked at b cells and their sensitivity levels to thimerosal , a commonly used additive in many vaccines",-0.32684276,-0.29045904,-0.32684276,3.228694377,3.28616751,2.667505085,Negative,0,0,neutral
75,the data provide evidence that no correlation exists between the prevalence of mmr vaccination and the rapid increase in the risk of autism over time,-0.32995868,-0.2945243,-0.32995868,2.495919494,2.631629688,2.958848127,Negative,0,0,oppose
76,"with regards to the mmr vaccine causing autism , there has been absolutely zero medical evidence that shows any correlation with the mmr vaccine and the increase in autism",-0.33060974,-0.29539442,-0.33060974,2.038296151,2.197157167,2.423124658,Negative,0,0,oppose
77,"in some areas of the uk , only 60 of children are receiving mmr",-0.32334092,-0.28607875,-0.32334092,2.378821926,2.075353705,2.073043118,Negative,0,0,neutral
78,"in the largest ever study of its kind , researchers again found that the measles mumps rubella ( mmr ) vaccine did not increase risk for autism spectrum disorder ( asd )",-0.3302285,-0.29488492,-0.3302285,2.907034583,2.818536577,2.71045831,Positive,0,0,neutral
79,"the reluctance of some parents to vaccinate the younger siblings of children with the disorder could make it appear that there is less autism among children given the jab not more , he says",-0.3329688,-0.29864696,-0.3329688,3.476517204,3.528134629,3.222331175,Negative,0,0,neutral
80,subsequent studies have failed to replicate dr wakefield 's results of linking mmr vaccine to autism and he is currently facing professional misconduct charges as a result of this study in front of the united kingdom 's general medical council,-0.3309407,-0.2963025,-0.3309407,3.060032025,3.305015248,3.495729727,Negative,0,0,oppose
81,these studies do not show any link between autism and mmr vaccine,-0.32315773,-0.2858588,-0.32315773,2.001337712,2.222753589,2.405860794,Negative,0,0,oppose
82,"although thimerosal has been removed from most children is vaccines , it is still present in flu vaccines given to pregnant women , the elderly and to children in developing countries",-0.3325519,-0.29804528,-0.3325519,2.764526599,2.48822231,2.318328242,Negative,0,0,neutral
83,for none of the autism outcomes was prenatal or early life receipt of thimerosal containing vaccines and immunoglobulins significantly greater among children with asd than among children without asd,-0.3327098,-0.2982715,-0.3327098,2.260683632,2.302716176,2.607641343,Negative,0,0,oppose
84,researchers found a positive and statistically significant relationship between autism and vaccinations,-0.3254959,-0.2887524,-0.3254959,0.895326824,1.562293266,1.331317854,Positive,0,0,support
85,a study conducted by the department of paediatrics at the university of arkansas determined that thimerosal induced cytotoxicity was associated with the depletion of intracellular glutathione ( gsh ) in multiple cell lines,-0.32866955,-0.29282695,-0.32866955,3.247989092,3.174742511,2.646998349,Negative,0,0,neutral
86,the iom 's committee on immunization safety review was convened in the fall of 2000 to provide an independent review of increasingly prominent vaccine safety concerns,-0.3323808,-0.29780516,-0.3323808,3.033626442,2.684797317,2.841453105,Negative,0,0,neutral
87,children could show light symptoms of measles or mumps,-0.32452512,-0.28753814,-0.32452512,2.417551161,2.309016104,2.184539553,Neutral,0,0,neutral
88,"the mmr vaccine is a constituent of weakened form of the measles , mumps and rubella viruses",-0.3241746,-0.28710893,-0.3241746,3.478525691,3.257886887,3.193553964,Negative,0,0,neutral
89,"since then , debate has raged over these claims of linking mmr vaccine to autism",-0.324562,-0.28758544,-0.324562,2.502151239,2.275094254,2.330670297,Negative,0,0,neutral
90,"another 752 children without autism , matched to the asd children by birth year , gender and managed care organization , were also studied",-0.33268273,-0.29823118,-0.33268273,3.521538779,3.302565102,3.182450595,Negative,0,0,neutral
